Location,Bedrooms,Bathrooms,Type,Stratum,Area_transformed_log,Price_transformed_log
Armenia,3,4,House,6.0,5.860786223465865,7.244941546337007
Armenia,3,2,Apartment,4.0,4.3694478524670215,6.1224928095143865
Armenia,4,3,Apartment,5.0,4.976733742420574,6.621405651764134
Armenia,3,3,House,5.0,4.2626798770413155,5.831882477283517
Armenia,3,2,Apartment,5.0,4.59511985013459,6.311734809152915
Armenia,4,2,Apartment,4.0,4.465908118654584,5.673323267171493
Armenia,3,2,Apartment,3.0,4.564276654418955,4.875197323201151
Armenia,3,2,Apartment,5.0,4.143134726391533,5.5254529391317835
Armenia,3,2,Apartment,5.0,4.418840607796598,5.484796933490655
Armenia,3,3,House,3.0,4.30406509320417,5.564520407322694
Armenia,3,2,Apartment,4.0,4.736198448394496,5.707110264748875
Armenia,3,4,House,6.0,5.707110264748875,7.550135342488429
Armenia,3,2,Apartment,5.0,4.330733340286331,6.111467339502679
Armenia,3,3,House,5.0,4.948759890378168,6.26530121273771
Armenia,3,2,House,5.0,4.976733742420574,6.255750041753367
Armenia,3,3,House,4.0,5.62040086571715,7.170888478512505
Armenia,3,4,Apartment,5.0,5.720311776607412,7.0909098220799835
Armenia,3,2,Apartment,6.0,4.770684624465665,6.689743914190009
Armenia,2,1,Apartment,5.0,4.110873864173311,5.638354669333745
Armenia,3,3,House,5.0,5.081404364984463,6.236369590203704
Armenia,3,3,Apartment,5.0,4.51085950651685,5.860786223465865
Armenia,3,2,Apartment,4.0,4.51085950651685,5.942799375126701
Armenia,3,2,Apartment,6.0,4.418840607796598,6.284425027347194
Armenia,4,3,House,5.0,4.852030263919617,6.175867270105761
Armenia,3,2,Apartment,3.0,4.248495242049359,5.111987788356544
Armenia,4,3,House,3.0,4.742633627623238,5.771441123130016
Armenia,3,3,Apartment,4.0,4.551682030441814,5.332718793265369
Armenia,3,1,Apartment,3.0,3.9889840465642745,4.795790545596741
Armenia,3,3,House,5.0,4.709530201312334,5.968707559985366
Armenia,3,3,Apartment,6.0,4.6913478822291435,6.246106765481563
Armenia,3,2,Apartment,6.0,4.634728988229636,6.373319789577012
Armenia,2,2,Apartment,3.0,3.828641396489095,5.442417710521793
Armenia,3,3,Apartment,3.0,4.578889714150445,5.111987788356544
Armenia,3,3,Apartment,5.0,4.583747347328632,5.484796933490655
Armenia,3,2,Apartment,5.0,4.8283137373023015,6.19644412779452
Armenia,3,2,Apartment,5.0,4.6913478822291435,6.077642243349034
Armenia,4,3,Apartment,5.0,4.795790545596741,5.802118375377063
Armenia,3,4,Apartment,6.0,5.262690188904886,6.7580945044277305
Armenia,5,3,Apartment,4.0,4.68213122712422,5.198497031265826
Armenia,2,2,Apartment,6.0,4.442651256490317,6.175867270105761
Armenia,3,3,House,5.0,5.5254529391317835,6.478509642208569
Armenia,3,3,House,6.0,4.718367559943623,5.545177444479562
Armenia,3,4,House,5.0,6.028278520230698,6.803505257608338
Armenia,3,3,House,4.0,4.836281906951478,6.111467339502679
Armenia,3,2,Apartment,5.0,4.59511985013459,6.26530121273771
Armenia,3,2,Apartment,4.0,4.59511985013459,5.442417710521793
Armenia,2,2,Apartment,6.0,4.442651256490317,6.133398042996649
Armenia,3,2,Apartment,5.0,4.276666119016055,6.111467339502679
Armenia,4,2,House,5.0,5.3981627015177525,7.00397413672268
Armenia,3,2,Apartment,4.0,4.31748811353631,5.583496308781699
Armenia,3,2,Apartment,4.0,4.477336814478207,5.707110264748875
Armenia,2,1,Apartment,3.0,3.784189633918261,4.61512051684126
Armenia,2,2,Apartment,5.0,4.23410650459726,5.918893854273146
Armenia,3,2,Apartment,4.0,3.970291913552122,5.5254529391317835
Armenia,3,3,House,4.0,5.017279836814924,6.19644412779452
Armenia,3,2,House,3.0,4.976733742420574,6.255750041753367
Armenia,2,1,Apartment,3.0,4.189654742026425,5.081404364984463
Armenia,3,2,Apartment,3.0,4.465908118654584,5.602118820879701
Armenia,2,2,Apartment,3.0,3.828641396489095,5.25227342804663
Armenia,2,1,Apartment,2.0,3.7376696182833684,4.875197323201151
Armenia,3,1,House,3.0,4.51085950651685,5.638354669333745
Armenia,3,1,Apartment,1.0,4.2626798770413155,5.198497031265826
Armenia,3,2,House,3.0,4.2626798770413155,5.198497031265826
Armenia,3,2,Apartment,5.0,4.290459441148391,5.942799375126701
Armenia,3,4,House,6.0,5.666426688112432,6.90875477931522
Armenia,3,1,Apartment,4.0,4.02535169073515,5.420534999272286
Armenia,3,1,House,2.0,4.290459441148391,5.049856007249537
Armenia,2,2,Apartment,4.0,3.912023005428146,5.564520407322694
Armenia,3,2,Apartment,5.0,4.718498871295094,6.398594934535208
Armenia,4,2,House,5.0,4.875197323201151,6.311734809152915
Armenia,3,2,Apartment,3.0,4.04305126783455,5.081404364984463
Armenia,3,2,House,5.0,4.948759890378168,6.68586094706836
Armenia,4,2,House,5.0,4.564348191467836,5.916202062607435
Armenia,3,2,Apartment,5.0,4.624972813284271,6.274573679589626
Armenia,3,2,Apartment,5.0,4.382026634673881,5.993961427306569
Armenia,3,2,Apartment,3.0,4.110873864173311,5.278114659230517
Armenia,3,2,Apartment,5.0,4.624972813284271,6.255750041753367
Armenia,3,3,House,4.0,4.553876891600541,5.82600010738045
Armenia,3,2,Apartment,3.0,4.02535169073515,5.14166355650266
Armenia,4,3,Apartment,6.0,4.624972813284271,6.111467339502679
Armenia,3,1,House,2.0,4.110873864173311,5.241747015059643
Armenia,3,2,Apartment,3.0,4.060443010546419,5.111987788356544
Armenia,4,2,House,3.0,5.081404364984463,5.442417710521793
Armenia,3,4,Apartment,6.0,4.990432586778736,6.280950928315281
Armenia,3,2,Apartment,5.0,4.543294782270004,6.2166061010848646
Armenia,3,2,House,3.0,4.110873864173311,5.081404364984463
Armenia,4,4,House,5.0,5.8888779583328805,7.170888478512505
Armenia,3,2,Apartment,2.0,4.562496932396973,4.543294782270004
Armenia,2,2,Apartment,3.0,3.9889840465642745,5.170483995038151
Armenia,2,2,Apartment,4.0,4.454347296253507,6.018593214496234
Armenia,2,2,Apartment,5.0,3.8918202981106265,5.5053315359323625
Armenia,4,4,House,4.0,4.997212273764115,6.3818160174060985
Armenia,2,2,Apartment,4.0,3.828641396489095,5.198497031265826
Armenia,3,3,House,5.0,5.780743515792329,7.955425088912672
Armenia,4,4,House,5.0,5.442417710521793,7.0909098220799835
Armenia,3,2,Apartment,3.0,4.07753744390572,4.875197323201151
Armenia,3,3,Apartment,5.0,4.579490698304319,5.351858133476067
Armenia,3,4,House,6.0,5.564520407322694,7.1316985104669115
Armenia,2,2,Apartment,5.0,4.0943445622221,5.442417710521793
Armenia,3,2,House,5.0,4.624972813284271,5.916202062607435
